epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.63,1.5996,3.11881,1.3059,0.00523,0.87725,0.25201,0.13631,1.28796,3.48569,1.06353,0.00045009,0.00045009,0.00045009
2,397.18,1.47801,2.0939,1.19041,0.00388,0.67267,0.00503,0.00255,1.4697,3.96725,1.49511,0.000886594,0.000886594,0.000886594
3,590.104,1.50118,1.8712,1.20902,0.92804,0.08689,0.40901,0.24325,1.40109,3.25886,1.32051,0.00129229,0.00129229,0.00129229
4,935.869,1.5007,1.75767,1.22308,0.61185,0.53716,0.60302,0.33854,1.42976,2.23822,1.31538,0.00150197,0.00150197,0.00150197
5,1245.33,1.43495,1.66319,1.1926,0.47493,0.52913,0.51232,0.29143,1.51601,2.24741,1.3933,0.00144696,0.00144696,0.00144696
6,1488.2,1.46784,1.57977,1.21378,0.75017,0.49291,0.57838,0.30392,1.57901,2.23173,1.44754,0.00139195,0.00139195,0.00139195
7,1710.23,1.41654,1.49174,1.18355,0.73419,0.69836,0.74172,0.40964,1.41044,1.53686,1.31267,0.00133693,0.00133693,0.00133693
8,1946.32,1.43259,1.35175,1.17723,0.71221,0.72359,0.74203,0.40926,1.4664,1.50386,1.32979,0.00128192,0.00128192,0.00128192
9,2175.72,1.41342,1.29649,1.17781,0.66934,0.64341,0.69458,0.35027,1.60286,1.58277,1.43898,0.00122691,0.00122691,0.00122691
10,2377.37,1.38972,1.23521,1.16526,0.57532,0.76284,0.68315,0.36613,1.49873,1.64008,1.33995,0.0011719,0.0011719,0.0011719
11,2601.73,1.38752,1.28051,1.1835,0.56775,0.65557,0.6226,0.3341,1.54106,1.73373,1.40266,0.00111689,0.00111689,0.00111689
12,2849.05,1.38075,1.20838,1.16143,0.66633,0.76787,0.75176,0.42203,1.44944,1.24793,1.32213,0.00106188,0.00106188,0.00106188
13,3085.33,1.36973,1.13399,1.16128,0.69147,0.73537,0.76097,0.43451,1.41533,1.21333,1.26654,0.00100687,0.00100687,0.00100687
14,3419.16,1.37127,1.0868,1.15419,0.69769,0.71018,0.71593,0.38835,1.41024,1.33839,1.29215,0.000951857,0.000951857,0.000951857
15,3660.76,1.33159,1.08595,1.13348,0.68735,0.69518,0.74687,0.39516,1.50596,1.22476,1.34654,0.000896846,0.000896846,0.000896846
16,3907.49,1.32662,1.04957,1.10542,0.74353,0.64869,0.72153,0.41182,1.38002,1.22519,1.26744,0.000841835,0.000841835,0.000841835
17,4127.49,1.25918,1.02791,1.09172,0.72339,0.72709,0.72934,0.40633,1.38893,1.16436,1.26316,0.000786824,0.000786824,0.000786824
18,4357.52,1.27938,0.98708,1.11626,0.7322,0.76085,0.76673,0.42595,1.48149,1.10783,1.28842,0.000731813,0.000731813,0.000731813
19,4544.55,1.26995,0.93492,1.09364,0.74637,0.7525,0.76058,0.42538,1.42295,1.09449,1.28325,0.000676802,0.000676802,0.000676802
20,4802.52,1.27439,0.95679,1.09257,0.7636,0.71349,0.79303,0.43151,1.44296,1.07404,1.28517,0.000621791,0.000621791,0.000621791
21,5042.08,1.20292,0.90822,1.09363,0.69909,0.74755,0.75914,0.44914,1.35107,1.03216,1.23809,0.00056678,0.00056678,0.00056678
22,5243.58,1.21341,0.85853,1.09482,0.68975,0.78197,0.77045,0.44318,1.4108,1.06724,1.2709,0.000511769,0.000511769,0.000511769
23,5515.51,1.20098,0.82811,1.0757,0.75885,0.75861,0.82273,0.47728,1.37827,1.02308,1.24085,0.000456758,0.000456758,0.000456758
24,5706.39,1.16544,0.79436,1.07408,0.77056,0.77731,0.81314,0.47485,1.38126,0.95573,1.25261,0.000401747,0.000401747,0.000401747
25,5905.64,1.13269,0.76451,1.04861,0.77183,0.78668,0.80968,0.47117,1.361,0.9712,1.24107,0.000346736,0.000346736,0.000346736
26,6117.18,1.14883,0.76745,1.07541,0.80485,0.75883,0.81792,0.46553,1.42755,0.96398,1.28217,0.000291725,0.000291725,0.000291725
27,6338.82,1.10384,0.72812,1.03938,0.82161,0.77887,0.82012,0.46581,1.41027,0.93679,1.25631,0.000236714,0.000236714,0.000236714
28,6551.41,1.08956,0.68831,1.03736,0.80696,0.76324,0.82084,0.46901,1.42344,0.95739,1.27424,0.000181703,0.000181703,0.000181703
29,6750.14,1.08905,0.69691,1.04051,0.78655,0.78634,0.82547,0.48082,1.42581,0.92169,1.27454,0.000126692,0.000126692,0.000126692
30,6938.2,1.04775,0.68149,1.00928,0.79697,0.81078,0.82794,0.47616,1.41701,0.92101,1.2867,7.1681e-05,7.1681e-05,7.1681e-05
